Heading row not found.,ID,northing,easting
,590,1059270,187718
,591,1056603,188134
,592,1057142,187799
,593,1057914,188270
,594,1058873,187805
,595,1058883,188174
,596,1057215,187768
,597,1054430,190514
,598,1054366,190508
,599,1058884,187845
,600,1040208,227349
,601,1039209,227622
,602,1039463,228245
,603,1038105,226976
,604,1038953,227775
,605,1040630,227450
,606,1038929,229016
,607,1039433,228146
,608,1037965,227774
,609,1038055,227867
,610,1038203,228112
,611,1038137,227497
,612,,
,613,1039663,229055
,614,1038913,229140
,615,1039088,226464
,616,1040893,227448
,617,1039846,227322
,618,1038278,228367
,619,1038079,226588
,620,1038013,228031
,621,1038924,228966
,622,1039777,226901
,623,1038071,227342
,624,1039867,226645
,625,1038067,226470
,626,1040566,226781
,627,1037923,226553
,628,1039955,227575
,629,1038555,229124
,630,1040137,227132
,631,1038281,227576
,632,1039299,228533
,633,1038370,228494
,634,1038286,227623
,635,1039147,228613
,636,1056174,217691
,637,1056258,217697
,638,1056002,215875
,639,1053123,219161
,640,1053017,222009
,641,1054067,220739
,642,1056143,216649
,643,1055768,216194
,644,1056219,217468
,645,1056244,216046
,646,1056957,217033
,647,1054163,222362
,648,1054343,220161
,649,1056248,217326
,650,1057192,217176
,651,1055951,217318
,652,1056110,215137
,653,1056437,218268
,654,1056660,217073
,655,1054736,217535
,656,1056865,215929
,657,1054239,222125
,658,1054123,220570
,659,1055756,215583
,660,1056748,217868
,661,1056977,217330
,662,1057074,215893
,663,1054595,221777
,664,1054050,222235
,665,1056827,217693
,666,1055897,217196
,667,1053121,221516
,668,1052743,221057
,669,1053480,221852
,670,1054843,217299
,671,1056321,216337
,672,1052541,223428
,673,1054210,221862
,674,,
,675,1052684,223651
,676,1055448,216247
,677,1056689,215788
,678,1059740,213499
,679,1059230,214845
,680,1059185,214711
,681,1057684,212140
,682,1057675,212220
,683,1058979,214512
,684,1059595,213731
,685,1059635,214157
,686,1057396,212352
,687,1046438,201723
,688,1047738,201995
,689,1048322,201028
,690,1048341,201260
,691,1047123,201939
,692,1046151,204134
,693,1046203,204281
,694,1045304,204169
,695,1049869,202310
,696,1047406,201254
,697,1046087,203611
,698,1047088,201328
,699,1045769,204422
,700,1046569,202151
,701,1048694,201052
,702,1049114,203007
,703,1046499,201860
,704,1047998,202514
,705,1049909,201749
,706,1049155,203041
,707,1049673,203448
,708,1048488,202463
,709,1049552,202213
,710,1048888,202651
,711,1046571,201675
,712,1046092,192337
,713,1046799,193528
,714,1046055,191999
,715,1046892,191916
,716,1048451,192112
,717,1047831,193228
,718,1047215,193359
,719,1046268,192474
,720,1048772,191930
,721,1047472,193718
,722,1048586,192203
,723,1048611,192166
,724,1047202,194087
,725,1049710,192925
,726,1049045,192405
,727,1049310,193402
,728,1049616,192841
,729,1049400,193240
,730,1049740,192817
,731,1049586,192698
,732,1048288,194743
,733,1051763,196108
,734,1048413,193479
,735,1051451,196215
,736,1051933,195618
,737,1052346,195251
,738,1050458,195911
,739,1049531,196124
,740,1051530,195988
,741,1049907,196282
,742,1052628,196026
,743,1052582,194868
,744,1049365,194514
,745,1052840,196205
,746,1050908,195705
,747,1051729,195717
,748,1047965,194710
,749,1052240,195550
,750,1051482,194532
,751,1051236,196345
,752,1052626,196338
,753,1052176,196533
,754,1047959,193713
,755,1049184,194217
,756,1052950,195398
,757,1050133,196264
,758,1050410,195220
,759,1048535,195365
,760,1050179,196288
,761,1050247,195447
,762,1051205,195334
,763,1052915,194709
,764,1049207,194785
,765,1049804,194235
,766,1050699,195043
,767,1049463,196074
,768,1051284,195413
,769,1051782,194463
,770,1052067,195537
,771,1049468,194183
,772,1052032,195333
,773,1049753,196170
,774,1050840,195104
,775,1052297,194874
,776,1050887,196568
,777,1050828,195938
,778,1051308,196139
,779,1048739,194503
,780,1047824,194462
,781,1048430,194187
,782,1048403,194448
,783,1048162,194051
,784,1048850,194390
,785,1047978,194230
,786,1051164,194969
,787,1048510,195110
,788,1033455,227939
,789,1036336,228038
,790,1034682,229217
,791,1035822,228064
,792,1037394,227270
,793,1033369,228711
,794,1033269,229054
,795,1032193,228181
,796,1033071,228993
,797,1034633,226274
,798,1035039,226676
,799,1033804,225952
,800,1032942,227199
,801,1033591,225834
,802,1034557,230419
,803,1032992,228969
,804,1033110,228385
,805,1034196,224989
,806,1032450,228623
,807,1034618,230033
,808,1036741,228155
,809,1033906,230301
,810,1034462,229797
,811,1037231,223201
,812,1033978,225092
,813,1033343,228430
,814,1033230,229042
,815,1034445,227569
,816,1034086,225432
,817,1034732,228588
,818,1034878,229272
,819,1035274,228195
,820,1036085,228355
,821,1034144,225246
,822,1032956,229231
,823,1035929,229346
